EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
02130-2023-0-2301-JR-LA-02,2130,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,04/03/2026 17:04,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
02165-2019-0-2301-JR-LA-02,2165,2019,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,06/03/2026 15:28,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00686-2023-0-2301-JR-LA-02,686,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,05/03/2026 16:12,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
02175-2023-0-2301-JR-LA-02,2175,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,03/03/2026 16:36,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
01941-2023-0-2301-JR-LA-02,1941,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,04/03/2026 17:03,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00885-2023-0-2301-JR-LA-01,885,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,05/03/2026 17:18,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00653-2021-0-2301-JR-LA-01,653,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,13/03/2026 16:33,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00411-2017-0-2301-JR-CI-01,411,2017,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,18/03/2026 14:40,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
01946-2023-0-2301-JR-LA-02,1946,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,04/03/2026 17:08,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
02002-2023-0-2301-JR-LA-03,2002,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,06/03/2026 08:34,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00663-2023-0-2301-JR-LA-02,663,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,20/03/2026 16:52,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,4to Juzgado de Trabajo
02114-2023-0-2301-JR-LA-02,2114,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,27/03/2026 17:16,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,3,4to Juzgado de Trabajo
00514-2021-0-2301-JR-LA-02,514,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,20/03/2026 16:45,ESPECIAL,IMPUGNACION DE ACTO O RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
01651-2023-0-2301-JR-CI-02,1651,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,05/03/2026 15:45,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00010-2017-0-2301-JR-LA-02,10,2017,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,09/03/2026 08:14,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
01874-2022-0-2301-JR-LA-02,1874,2022,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,06/03/2026 08:32,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00885-2024-0-2301-JR-CI-02,885,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,04/03/2026 14:33,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00640-2020-0-2301-JR-CI-02,640,2020,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,12/03/2026 11:32,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
01257-2022-0-2301-JR-LA-02,1257,2022,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,05/03/2026 17:30,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
01587-2018-0-2301-JR-LA-02,1587,2018,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,09/03/2026 16:52,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,3,2do Juzgado de Trabajo
00194-2023-0-2301-JR-LA-03,194,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/03/2026 08:18,ORDINARIO,REPOSICION,Contencioso Administrativo,3,2do Juzgado de Trabajo
00940-2025-0-2301-JR-LA-03,940,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,10/03/2026 15:30,ORDINARIO,REPOSICION,Contencioso Administrativo,3,2do Juzgado de Trabajo
01888-2025-0-2301-JR-LA-02,1888,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,27/03/2026 08:49,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,3,2do Juzgado de Trabajo
00334-2026-0-2301-JR-LA-02,334,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/03/2026 16:22,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,3,2do Juzgado de Trabajo
01169-2025-0-2301-JR-LA-02,1169,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,31/03/2026 16:12,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,3,2do Juzgado de Trabajo
01612-2025-0-2301-JR-LA-02,1612,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,03/03/2026 16:26,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,3,2do Juzgado de Trabajo
01493-2025-0-2301-JR-LA-02,1493,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/03/2026 16:37,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,3,2do Juzgado de Trabajo
00389-2026-0-2301-JR-LA-02,389,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,26/03/2026 08:48,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,3,2do Juzgado de Trabajo
00340-2026-0-2301-JR-LA-02,340,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,26/03/2026 08:48,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,3,2do Juzgado de Trabajo
00338-2026-0-2301-JR-LA-02,338,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/03/2026 16:23,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,3,2do Juzgado de Trabajo
01219-2025-0-2301-JR-LA-02,1219,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,03/03/2026 16:27,ORDINARIO,CONTENIDO ESPECIAL DEL DERECHO A LA PENSION,Contencioso Administrativo,3,2do Juzgado de Trabajo
00051-2026-0-2301-JR-LA-02,51,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,26/03/2026 08:44,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,3,2do Juzgado de Trabajo
