EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
00824-2026-0-2301-JR-CI-02,824,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46171.40625,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,5,2do Juzgado de Trabajo
00390-2026-0-2301-JR-CI-02,390,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46156.41319,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,5,4to Juzgado de Trabajo
00828-2026-0-2301-JR-CI-01,828,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46170.68333,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,5,4to Juzgado de Trabajo
00648-2026-0-2301-JR-LA-01,648,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46154.65486,ORDINARIO,PAGO DE HONORARIOS,Contencioso Administrativo,5,4to Juzgado de Trabajo
00817-2026-0-2301-JR-LA-03,817,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46170.42431,ORDINARIO,REPOSICION,Contencioso Administrativo,5,4to Juzgado de Trabajo
00625-2026-0-2301-JR-LA-01,625,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46153.38611,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,5,2do Juzgado de Trabajo
00710-2026-0-2301-JR-LA-01,710,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46164.66875,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,5,2do Juzgado de Trabajo
00743-2026-0-2301-JR-LA-01,743,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46164.67083,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,5,2do Juzgado de Trabajo
00744-2026-0-2301-JR-LA-03,744,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46164.67361,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,5,2do Juzgado de Trabajo
00819-2026-0-2301-JR-LA-03,819,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46170.425,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,5,2do Juzgado de Trabajo
00683-2026-0-2301-JR-LA-03,683,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,46157.67917,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,5,2do Juzgado de Trabajo
