EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
01479-2011-0-2301-JR-LA-02,1479,2011,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,22/01/2026 09:11,ESPECIAL,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02027-2025-0-2301-JR-CI-04,2027,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/01/2026 14:37,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02247-2025-0-2301-JR-CI-04,2247,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,06/01/2026 10:25,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02390-2025-0-2301-JR-CI-04,2390,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,09/01/2026 12:48,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02467-2025-0-2301-JR-CI-04,2467,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,29/01/2026 08:35,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02489-2025-0-2301-JR-CI-04,2489,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,16/01/2026 12:47,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02515-2025-0-2301-JR-CI-01,2515,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,12/01/2026 16:37,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
00166-2026-0-2301-JR-CI-01,166,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/01/2026 11:19,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
00168-2026-0-2301-JR-CI-04,168,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/01/2026 15:32,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02027-2025-0-2301-JR-CI-04,2027,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,21/01/2026 16:22,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,4to Juzgado de Trabajo
00066-2026-0-2301-JR-LA-02,66,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,19/01/2026 12:46,ORDINARIO,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,1,2do Juzgado de Trabajo
00101-2026-0-2301-JR-LA-04,101,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,22/01/2026 16:53,URGENTE,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,1,4to Juzgado de Trabajo
00050-2026-0-2301-JR-CI-01,50,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/01/2026 09:26,ORDINARIO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo
02434-2025-0-2301-JR-CI-04,2434,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/01/2026 09:32,ORDINARIO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,1,4to Juzgado de Trabajo
02439-2025-0-2301-JR-CI-01,2439,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/01/2026 09:21,ORDINARIO,NULIDAD DE RESOLUCIÓN O ACTO ADMINISTRATIVO,Contencioso Administrativo,1,4to Juzgado de Trabajo
00146-2026-0-2301-JR-LA-02,146,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,30/01/2026 16:24,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,1,2do Juzgado de Trabajo
00143-2026-0-2301-JR-LA-02,143,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,30/01/2026 13:13,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00141-2026-0-2301-JR-LA-02,141,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,30/01/2026 11:58,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00137-2026-0-2301-JR-LA-02,137,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,30/01/2026 10:00,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00135-2026-0-2301-JR-LA-02,135,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,29/01/2026 16:29,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00133-2026-0-2301-JR-LA-02,133,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,29/01/2026 16:23,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00123-2026-0-2301-JR-LA-02,123,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,28/01/2026 16:45,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,1,2do Juzgado de Trabajo
00121-2026-0-2301-JR-LA-02,121,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,28/01/2026 15:55,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00119-2026-0-2301-JR-LA-02,119,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,28/01/2026 14:45,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,1,2do Juzgado de Trabajo
00102-2026-0-2301-JR-LA-02,102,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,22/01/2026 17:31,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00100-2026-0-2301-JR-LA-02,100,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,22/01/2026 16:49,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,1,2do Juzgado de Trabajo
00097-2026-0-2301-JR-LA-02,97,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,22/01/2026 10:09,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,1,2do Juzgado de Trabajo
00090-2026-0-2301-JR-LA-02,90,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,21/01/2026 16:55,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,1,2do Juzgado de Trabajo
00088-2026-0-2301-JR-LA-02,88,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,21/01/2026 16:50,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,1,2do Juzgado de Trabajo
00086-2026-0-2301-JR-LA-02,86,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,21/01/2026 16:44,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,1,2do Juzgado de Trabajo
